"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Raltegravir|Concentration in container [µmol/l]","Organism|Lumen|Raltegravir|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0.003502872,0.01331789,0.0001176739
0,6,0.0419324,0.0846737,0.0005351385
0,9,0.1251329,0.2004998,0.00123445
0,12,0.2430967,0.346918,0.002191726
0,15,0.3881686,0.5161126,0.003381766
0,18,0.5544025,0.7022337,0.004779243
0,21,0.736857,0.9007065,0.00636066
0,24,0.9314446,1.107932,0.008105022
0,27,1.1348,1.321032,0.009993767
0,30,1.344143,1.537666,0.01201051
0,33,1.557163,1.755897,0.01414067
0,36,1.771946,1.974129,0.01637134
0,39,1.98687,2.191007,0.01869076
0,42,2.200575,2.405396,0.02108834
0,45,2.411933,2.616353,0.0235545
0,48,2.619989,2.823085,0.02608046
0,51,2.823947,3.024929,0.02865817
0,54,3.023137,3.22133,0.03128021
0,57,3.217005,3.411835,0.03393975
0,60,3.405097,3.596073,0.03663048
0,63,3.58704,3.773744,0.03934655
0,66,3.762533,3.944613,0.04208251
0,69,3.931335,4.108494,0.04483334
0,72,4.093259,4.26525,0.04759432
0,75,4.248167,4.414786,0.05036109
0,78,4.395966,4.557047,0.05312961
0,81,4.536595,4.692006,0.0558961
0,84,4.67003,4.819669,0.05865706
0,87,4.796273,4.940065,0.06140924
0,90,4.915349,5.053243,0.06414963
0,93,5.027307,5.159272,0.06687541
0,96,5.132211,5.258237,0.069584
0,99,5.230148,5.350241,0.07227301
0,102,5.321214,5.435395,0.07494021
0,105,5.405521,5.513826,0.07758357
0,108,5.483193,5.585669,0.08020122
0,111,5.554361,5.651067,0.08279146
0,114,5.619168,5.710173,0.0853527
0,117,5.677761,5.763141,0.08788355
0,120,5.730295,5.810136,0.09038269
0,135,5.907774,5.961413,0.1023662
0,150,5.958895,5.989189,0.113429
0,165,5.904962,5.915015,0.1235212
0,180,5.766996,5.760039,0.132639
0,195,5.564509,5.543632,0.1408101
0,210,5.314855,5.282914,0.1480831
0,225,5.032996,4.992549,0.1545203
0,240,4.731479,4.684771,0.1601915
0,255,4.420547,4.369466,0.1651687
0,270,4.108136,4.054267,0.1695219
0,285,3.800653,3.745341,0.1733204
0,300,3.502944,3.447276,0.1766297
0,315,3.218487,3.163321,0.1795104
0,330,2.949615,2.895616,0.1820177
0,345,2.697739,2.645407,0.1842011
0,360,2.463591,2.413285,0.1861052
0,375,2.247298,2.199263,0.1877689
0,390,2.048553,2.002942,0.1892262
0,405,1.866755,1.82365,0.190507
0,420,1.701098,1.660519,0.1916368
0,435,1.550632,1.512557,0.1926379
0,450,1.414322,1.378693,0.1935293
0,465,1.291092,1.257828,0.1943271
0,480,1.179871,1.148873,0.1950451
0,495,1.079618,1.050777,0.195695
0,510,0.9893345,0.9625335,0.1962867
0,525,0.9080792,0.8831989,0.1968286
0,540,0.8349681,0.811889,0.1973279
0,555,0.7691826,0.7477869,0.1977905
0,570,0.7099717,0.6901457,0.1982214
0,585,0.6566535,0.6382878,0.1986248
0,600,0.60861,0.5916006,0.1990045
0,615,0.5652832,0.5495315,0.1993633
0,630,0.5261713,0.5115848,0.1997039
0,645,0.4908253,0.4773173,0.2000285
0,660,0.4588441,0.4463338,0.2003389
0,675,0.4298703,0.4182826,0.2006366
0,690,0.4035862,0.3928511,0.2009232
0,705,0.3797092,0.3697621,0.2011996
0,720,0.357988,0.348769,0.201467
