"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Raltegravir|Concentration in container [µmol/l]","Organism|Lumen|Raltegravir|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0.002154017,0.007851833,0.0002326246
0,6,0.02425889,0.04792723,0.001035013
0,9,0.07016356,0.1111129,0.002359535
0,12,0.1338193,0.1897358,0.004159706
0,15,0.2111003,0.2796593,0.006388224
0,18,0.2988882,0.3778303,0.00899794
0,21,0.3946312,0.4819043,0.01194534
0,24,0.4962441,0.5900655,0.01519167
0,27,0.6020298,0.7008776,0.01870278
0,30,0.7105939,0.8131819,0.02244849
0,33,0.8207837,0.9260248,0.02640202
0,36,0.9316481,1.038622,0.0305396
0,39,1.042382,1.15031,0.03483963
0,42,1.152311,1.26053,0.03928255
0,45,1.260875,1.36882,0.04385069
0,48,1.367604,1.474795,0.04852787
0,51,1.472104,1.578128,0.05329919
0,54,1.574045,1.678553,0.05815094
0,57,1.673157,1.775847,0.0630705
0,60,1.769215,1.869832,0.06804614
0,63,1.862036,1.960363,0.07306701
0,66,1.951474,2.047326,0.07812304
0,69,2.037412,2.130635,0.08320487
0,72,2.119762,2.210227,0.0883038
0,75,2.19846,2.286061,0.09341174
0,78,2.273463,2.358113,0.09852119
0,81,2.344746,2.426376,0.1036251
0,84,2.4123,2.490856,0.1087172
0,87,2.47613,2.551574,0.1137912
0,90,2.536252,2.608557,0.1188416
0,93,2.592694,2.661845,0.1238633
0,96,2.645493,2.711484,0.1288513
0,99,2.694696,2.757531,0.1338014
0,102,2.740356,2.800046,0.1387094
0,105,2.782533,2.839097,0.1435716
0,108,2.821292,2.874756,0.1483845
0,111,2.856703,2.907099,0.153145
0,114,2.888842,2.936205,0.1578502
0,117,2.917784,2.962156,0.1624976
0,120,2.943613,2.985039,0.1670846
0,135,3.029016,3.056507,0.1890493
0,150,3.04968,3.06477,0.2092761
0,165,3.01685,3.021219,0.2276832
0,180,2.941316,2.936663,0.2442687
0,195,2.833069,2.821033,0.2590872
0,210,2.700992,2.683089,0.2722329
0,225,2.552747,2.530345,0.283825
0,240,2.394782,2.369079,0.2939957
0,255,2.232378,2.204405,0.3028821
0,270,2.069741,2.040363,0.3106207
0,285,1.910121,1.880055,0.3173425
0,300,1.755951,1.725775,0.3231701
0,315,1.608957,1.579127,0.3282164
0,330,1.470296,1.441167,0.3325844
0,345,1.340657,1.312491,0.3363661
0,360,1.220356,1.193342,0.3396431
0,375,1.109426,1.083693,0.3424872
0,390,1.007686,0.9833134,0.3449614
0,405,0.9148012,0.8918244,0.34712
0,420,0.8303263,0.808754,0.34901
0,435,0.7537472,0.7335625,0.3506717
0,450,0.6845142,0.6656815,0.3521396
0,465,0.6220604,0.6045318,0.3534429
0,480,0.5658212,0.5495395,0.3546067
0,495,0.515248,0.5001501,0.3556519
0,510,0.4698157,0.455835,0.3565963
0,525,0.42903,0.4160989,0.3574549
0,540,0.3924293,0.3804798,0.3582404
0,555,0.3595877,0.3485537,0.3589633
0,570,0.3301156,0.3199329,0.3596325
0,585,0.303658,0.294265,0.3602555
0,600,0.2798936,0.2712319,0.3608386
0,615,0.2585331,0.2505474,0.361387
0,630,0.2393167,0.2319552,0.3619054
0,645,0.2220121,0.2152265,0.3623973
0,660,0.2064124,0.2001575,0.362866
0,675,0.192333,0.186567,0.3633142
0,690,0.1796098,0.1742938,0.3637442
0,705,0.1680971,0.1631953,0.3641579
0,720,0.1576659,0.1531452,0.3645571
