"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Raltegravir|Concentration in container [µmol/l]","Organism|Lumen|Raltegravir|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,15,0.2265153,0.3308787,0.003277063
0,30,0.8828341,1.043283,0.01184885
0,45,1.655343,1.826242,0.0233477
0,60,2.396644,2.557595,0.03635522
0,75,3.044065,3.185813,0.04999064
0,90,3.573405,3.692163,0.06366624
0,105,3.979763,4.074673,0.07698086
0,120,4.268399,4.340255,0.08966426
0,135,4.449953,4.500487,0.1015431
0,150,4.537686,4.569133,0.1125169
0,165,4.545806,4.560627,0.1225407
0,180,4.488363,4.489054,0.1316103
0,195,4.378677,4.367648,0.1397508
0,210,4.228865,4.208359,0.147008
0,225,4.049634,4.02168,0.1534411
0,240,3.850219,3.816611,0.1591166
0,255,3.638405,3.600694,0.1641046
0,270,3.420591,3.380096,0.1684748
0,285,3.201924,3.159743,0.172295
0,300,2.986429,2.943463,0.1756294
0,315,2.777163,2.734133,0.1785374
0,330,2.576348,2.533824,0.1810732
0,345,2.385525,2.343943,0.183286
0,360,2.205663,2.165347,0.1852193
0,375,2.037281,1.998463,0.1869117
0,390,1.880542,1.843377,0.1883974
0,405,1.735335,1.699918,0.1897058
0,420,1.601344,1.567721,0.1908626
0,435,1.478108,1.446284,0.1918897
0,450,1.365065,1.335021,0.1928063
0,465,1.261593,1.233285,0.1936284
0,480,1.167041,1.140409,0.1943698
0,495,1.080744,1.05572,0.1950423
0,510,1.002049,0.9785563,0.1956557
0,525,0.9303213,0.9082806,0.1962184
0,540,0.8649568,0.8442867,0.1967376
0,555,0.8053855,0.7860051,0.1972192
0,570,0.7510753,0.7329059,0.1976683
0,585,0.7015343,0.6844993,0.1980891
0,600,0.6563097,0.6403363,0.1984853
0,615,0.6149882,0.6000068,0.1988598
0,630,0.5771935,0.5631387,0.1992154
0,645,0.5425848,0.529395,0.1995541
0,660,0.5108542,0.4984719,0.1998779
0,675,0.4817245,0.4700959,0.2001885
0,690,0.4549462,0.4440213,0.200487
0,705,0.4302956,0.4200278,0.2007749
0,720,0.4075717,0.3979177,0.201053
