"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Raltegravir|Concentration in container [µmol/l]","Organism|Lumen|Raltegravir|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0.004023039,0.01477463,0.0001192412
0,6,0.04677353,0.09274755,0.0005395182
0,9,0.1377562,0.2185055,0.001241175
0,12,0.2657724,0.3769599,0.002200209
0,15,0.422585,0.5596302,0.003391486
0,18,0.6018008,0.7601768,0.004789762
0,21,0.7981119,0.9736658,0.006371644
0,24,1.007138,1.196231,0.008116237
0,27,1.225279,1.424795,0.01000507
0,30,1.449569,1.656863,0.01202183
0,33,1.677546,1.890377,0.01415203
0,36,1.907174,2.123642,0.01638278
0,39,2.136729,2.355227,0.01870238
0,42,2.364771,2.583933,0.02110027
0,45,2.590106,2.808766,0.02356689
0,48,2.811725,3.028893,0.02609348
0,51,3.028788,3.243617,0.028672
0,54,3.240591,3.452359,0.03129502
0,57,3.446555,3.654646,0.03395573
0,60,3.646204,3.850094,0.03664779
0,63,3.839151,4.038394,0.03936536
0,66,4.025083,4.219304,0.04210299
0,69,4.203753,4.392636,0.04485562
0,72,4.374971,4.558254,0.04761855
0,75,4.5386,4.716066,0.0503874
0,78,4.694546,4.86602,0.0531581
0,81,4.842756,5.008099,0.05592687
0,84,4.98321,5.142315,0.05869021
0,87,5.115918,5.268708,0.06144485
0,90,5.240915,5.387337,0.06418774
0,93,5.35826,5.498283,0.06691609
0,96,5.468029,5.601646,0.06962729
0,99,5.570319,5.697538,0.07231893
0,102,5.665241,5.786088,0.07498879
0,105,5.75292,5.867435,0.07763481
0,108,5.833493,5.94173,0.08025512
0,111,5.907108,6.009132,0.082848
0,114,5.97392,6.069808,0.08541188
0,117,6.034093,6.123929,0.08794533
0,120,6.087796,6.171674,0.09044704
0,135,6.265501,6.321223,0.1024427
0,150,6.308782,6.339431,0.1135152
0,165,6.240788,6.249782,0.1236145
0,180,6.08431,6.075149,0.1327375
0,195,5.860357,5.836389,0.1409116
0,210,5.58748,5.551788,0.1481861
0,225,5.281638,5.236985,0.1546235
0,240,4.956201,4.904998,0.1602935
0,255,4.622063,4.566375,0.1652692
0,270,4.287629,4.229114,0.1696211
0,285,3.959424,3.899517,0.1734178
0,300,3.642477,3.582339,0.1767246
0,315,3.340394,3.280938,0.1796026
0,330,3.055549,2.997478,0.1821071
0,345,2.789331,2.733167,0.1842878
0,360,2.54237,2.488488,0.1861888
0,375,2.314734,2.263387,0.1878495
0,390,2.106021,2.05736,0.1893041
0,405,1.915503,1.869602,0.1905821
0,420,1.742251,1.699125,0.1917094
0,435,1.585201,1.544815,0.1927079
0,450,1.443215,1.405498,0.1935968
0,465,1.315117,1.279974,0.1943923
0,480,1.199737,1.167054,0.1951081
0,495,1.095941,1.065596,0.1957559
0,510,1.002653,0.974514,0.1963456
0,525,0.9188592,0.8927931,0.1968856
0,540,0.8436157,0.81949,0.197383
0,555,0.7760496,0.7537339,0.1978438
0,570,0.7153605,0.694729,0.198273
0,585,0.6608214,0.6417537,0.1986749
0,600,0.6117769,0.5941587,0.1990531
0,615,0.5676371,0.5513605,0.1994105
0,630,0.5278726,0.5128361,0.1997498
0,645,0.4920098,0.478119,0.2000731
0,660,0.459627,0.4467936,0.2003823
0,675,0.4303487,0.4184909,0.2006789
0,690,0.4038418,0.3928837,0.2009644
0,705,0.3798105,0.369682,0.2012399
0,720,0.3579927,0.3486289,0.2015063
