"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Raltegravir|Concentration in container [µmol/l]","Organism|Lumen|Raltegravir|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0.004631625,0.0165115,0.0002340104
0,6,0.04932743,0.09613468,0.00103174
0,9,0.1383945,0.2173085,0.00234377
0,12,0.259528,0.3661141,0.004127326
0,15,0.405509,0.5356538,0.006337841
0,18,0.5709782,0.7206893,0.008929471
0,21,0.7514671,0.9170933,0.011859
0,24,0.9432884,1.121645,0.01508765
0,27,1.143437,1.33181,0.01858126
0,30,1.349452,1.545544,0.0223098
0,33,1.559291,1.761159,0.02624666
0,36,1.771262,1.977252,0.03036829
0,39,1.983916,2.192615,0.03465327
0,42,2.196025,2.406218,0.03908221
0,45,2.406552,2.617192,0.04363756
0,48,2.61461,2.824789,0.04830316
0,51,2.819443,3.028376,0.05306419
0,54,3.020406,3.227411,0.05790694
0,57,3.216953,3.421437,0.06281876
0,60,3.408624,3.610072,0.06778792
0,63,3.595033,3.792997,0.07280356
0,66,3.775856,3.969949,0.07785556
0,69,3.950826,4.140712,0.08293451
0,72,4.119722,4.305115,0.08803165
0,75,4.282372,4.463023,0.09313881
0,78,4.43864,4.614339,0.09824844
0,81,4.588426,4.758996,0.1033535
0,84,4.731662,4.896956,0.1084474
0,87,4.868305,5.028203,0.1135241
0,90,4.998337,5.152742,0.1185779
0,93,5.121761,5.270598,0.1236036
0,96,5.238599,5.381814,0.1285964
0,99,5.34889,5.486444,0.1335517
0,102,5.452688,5.584562,0.1384654
0,105,5.550063,5.67625,0.1433337
0,108,5.641094,5.761602,0.1481531
0,111,5.725875,5.840724,0.1529205
0,114,5.804506,5.913728,0.1576328
0,117,5.877098,5.980733,0.1622875
0,120,5.943767,6.041865,0.1668821
0,135,6.192516,6.263861,0.1888825
0,150,6.313014,6.359846,0.2091364
0,165,6.324208,6.349249,0.2275622
0,180,6.244971,6.251117,0.2441594
0,195,6.093331,6.08348,0.2589846
0,210,5.885791,5.862718,0.2721342
0,225,5.636994,5.603269,0.2837293
0,240,5.359618,5.31756,0.2939041
0,255,5.064374,5.016036,0.302797
0,270,4.760102,4.707257,0.3105456
0,285,4.453834,4.39795,0.3172799
0,300,4.150861,4.093181,0.3231184
0,315,3.855567,3.797153,0.3281741
0,330,3.571192,3.512902,0.3325501
0,345,3.300024,3.242543,0.3363386
0,360,3.043563,2.987423,0.3396217
0,375,2.802683,2.748286,0.3424715
0,390,2.577732,2.525374,0.3449509
0,405,2.368679,2.318565,0.3471141
0,420,2.175207,2.127469,0.3490081
0,435,1.99679,1.951499,0.3506735
0,450,1.832748,1.789927,0.3521448
0,465,1.682297,1.641932,0.3534512
0,480,1.544594,1.506643,0.3546177
0,495,1.418769,1.383166,0.3556652
0,510,1.303958,1.27062,0.3566117
0,525,1.199315,1.168149,0.357472
0,540,1.104022,1.074928,0.3582591
0,555,1.017292,0.9901644,0.3589834
0,570,0.9383852,0.9131171,0.3596538
0,585,0.8666087,0.8430934,0.3602779
0,600,0.8013213,0.779453,0.3608619
0,615,0.7419294,0.7216057,0.3614112
0,630,0.687888,0.6690098,0.3619302
0,645,0.6386983,0.6211704,0.3624227
0,660,0.5939052,0.5776368,0.3628919
0,675,0.5530946,0.5379997,0.3633405
0,690,0.5158905,0.5018878,0.3637708
0,705,0.4819531,0.4689658,0.3641848
0,720,0.4509741,0.4389302,0.3645842
