"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Raltegravir|Concentration in container [µmol/l]","Organism|Lumen|Raltegravir|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0.003410313,0.01351214,0.0002440139
0,6,0.03620495,0.07528633,0.0009805845
0,9,0.1011349,0.1665339,0.002142594
0,12,0.1897039,0.2782959,0.003708471
0,15,0.2970671,0.4059095,0.005652553
0,18,0.4194737,0.5455428,0.00794539
0,21,0.5537041,0.6941294,0.01055761
0,24,0.6970685,0.8492728,0.01346156
0,27,0.8473412,1.009067,0.01663171
0,30,1.002672,1.171962,0.02004456
0,33,1.161503,1.336658,0.02367837
0,36,1.322514,1.502053,0.0275131
0,39,1.48456,1.667193,0.03152997
0,42,1.646662,1.831254,0.03571146
0,45,1.807956,1.993513,0.0400411
0,48,1.967701,2.153342,0.04450341
0,51,2.125251,2.310197,0.04908386
0,54,2.280046,2.46361,0.05376876
0,57,2.431601,2.613173,0.05854518
0,60,2.579495,2.758537,0.06340092
0,63,2.723368,2.899402,0.06832448
0,66,2.862912,3.035518,0.073305
0,69,2.997868,3.166676,0.07833224
0,72,3.128016,3.292705,0.08339655
0,75,3.253178,3.413464,0.08848885
0,78,3.373208,3.528847,0.09360055
0,81,3.487992,3.638772,0.09872361
0,84,3.59744,3.743185,0.1038504
0,87,3.701493,3.842051,0.1089739
0,90,3.800111,3.935359,0.1140874
0,93,3.893276,4.023115,0.1191846
0,96,3.980989,4.105341,0.1242597
0,99,4.063266,4.182074,0.1293072
0,102,4.140141,4.253366,0.134322
0,105,4.21166,4.31928,0.1392995
0,108,4.277881,4.379891,0.1442352
0,111,4.338874,4.435283,0.149125
0,114,4.394718,4.485548,0.1539653
0,117,4.445499,4.530782,0.1587524
0,120,4.491304,4.571071,0.1634829
0,135,4.645929,4.697628,0.1861307
0,150,4.687819,4.714784,0.2069173
0,165,4.641874,4.648257,0.2258087
0,180,4.527211,4.516413,0.2428215
0,195,4.359811,4.334958,0.2580117
0,210,4.153729,4.117731,0.271473
0,225,3.921264,3.876782,0.2833264
0,240,3.672869,3.622264,0.2937095
0,255,3.417153,3.362462,0.3027661
0,270,3.160987,3.103922,0.3106392
0,285,2.909663,2.85163,0.3174664
0,300,2.667111,2.609243,0.3233766
0,315,2.436123,2.379301,0.3284877
0,330,2.218539,2.163436,0.3329064
0,345,2.015407,1.96251,0.3367277
0,360,1.82723,1.776883,0.3400361
0,375,1.65401,1.606435,0.342905
0,390,1.495437,1.450754,0.3453988
0,405,1.350946,1.3092,0.3475728
0,420,1.219817,1.180986,0.3494748
0,435,1.101214,1.065236,0.3511459
0,450,0.9942515,0.9610292,0.3526208
0,465,0.8980196,0.8674315,0.3539292
0,480,0.8116177,0.7835265,0.3550963
0,495,0.7341723,0.7084307,0.3561435
0,510,0.6648487,0.6413052,0.3570887
0,525,0.602861,0.5813633,0.357947
0,540,0.547477,0.527875,0.3587313
0,555,0.4980208,0.4801688,0.3594522
0,570,0.4538728,0.4376311,0.3601189
0,585,0.4144686,0.3997046,0.3607388
0,600,0.3792976,0.3658862,0.3613184
0,615,0.3478987,0.3357228,0.3618631
0,630,0.3198578,0.3088087,0.3623774
0,645,0.2948046,0.2847814,0.3628651
0,660,0.272408,0.2633175,0.3633294
0,675,0.2523717,0.244128,0.3637733
0,690,0.234433,0.2269578,0.3641989
0,705,0.2183587,0.2115801,0.3646083
0,720,0.2039415,0.1977938,0.3650032
