"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Raltegravir|Concentration in container [µmol/l]","Organism|Lumen|Raltegravir|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0.004120258,0.03396762,0.002464925
0,6,0.05239059,0.1712591,0.00853741
0,9,0.1645228,0.3695073,0.01770131
0,12,0.3326465,0.6058322,0.02930855
0,15,0.5403756,0.8546753,0.04245411
0,18,0.767216,1.094024,0.05625493
0,21,0.9937668,1.308777,0.06997812
0,24,1.204738,1.490304,0.08308113
0,27,1.38984,1.635139,0.09520742
0,30,1.543444,1.74354,0.1061606
0,33,1.663737,1.81821,0.1158699
0,36,1.751686,1.863194,0.1243544
0,39,1.810028,1.883086,0.1316902
0,42,1.842472,1.882464,0.1379854
0,45,1.853091,1.86558,0.1433619
0,48,1.845904,1.836183,0.1479423
0,51,1.824619,1.79745,0.1518421
0,54,1.792504,1.752018,0.155166
0,57,1.752347,1.702024,0.158006
0,60,1.706465,1.649163,0.1604413
0,63,1.656739,1.594765,0.1625391
0,66,1.604669,1.539853,0.1643559
0,69,1.551433,1.485202,0.1659387
0,72,1.497937,1.431389,0.1673265
0,75,1.444867,1.378829,0.1685515
0,78,1.392733,1.327814,0.1696402
0,81,1.341903,1.278543,0.1706147
0,84,1.292631,1.231134,0.1714929
0,87,1.245086,1.185652,0.1722898
0,90,1.199369,1.142116,0.1730176
0,93,1.155528,1.100511,0.1736864
0,96,1.113573,1.060801,0.1743046
0,99,1.073485,1.022937,0.1748793
0,102,1.035226,0.986853,0.1754163
0,105,0.998742,0.9524764,0.1759203
0,108,0.963968,0.9197312,0.1763956
0,111,0.9308329,0.8885398,0.1768455
0,114,0.8992625,0.8588237,0.1772729
0,117,0.8691815,0.830505,0.1776803
0,120,0.8405138,0.8035085,0.1780698
0,135,0.7158446,0.6859142,0.1798022
0,150,0.6164622,0.5918114,0.1812709
0,165,0.5360067,0.5153182,0.1825535
0,180,0.469874,0.4522132,0.1836945
0,195,0.4147739,0.3994798,0.1847219
0,210,0.3683363,0.3549352,0.1856551
0,225,0.3288285,0.3169735,0.1865085
0,240,0.2949522,0.2843832,0.1872933
0,255,0.2657135,0.256231,0.1880184
0,270,0.2403392,0.2317863,0.1886914
0,285,0.2182139,0.210465,0.1893186
0,300,0.1988405,0.1917931,0.1899054
0,315,0.1818133,0.1753828,0.1904564
0,330,0.1667983,0.1609137,0.1909759
