"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Raltegravir|Concentration in container [µmol/l]","Organism|Lumen|Raltegravir|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0.01215075,0.09974886,0.003586665
0,6,0.1529301,0.4982601,0.01227304
0,9,0.4777721,1.070035,0.02524857
0,12,0.9625435,1.748458,0.04155792
0,15,1.5589,2.458908,0.05990767
0,18,2.206828,3.137398,0.07905551
0,21,2.849906,3.740716,0.09798567
0,24,3.444172,4.244919,0.1159564
0,27,3.960563,4.641218,0.1324904
0,30,4.383837,4.931652,0.1473347
0,33,4.709876,5.125151,0.1604105
0,36,4.942502,5.234313,0.1717602
0,39,5.090522,5.272998,0.1815034
0,42,5.165333,5.254798,0.1898012
0,45,5.179135,5.1921,0.1968303
0,48,5.143745,5.095661,0.2027662
0,51,5.069917,4.97453,0.2077728
0,54,4.967021,4.836103,0.2119974
0,57,4.842956,4.686312,0.2155686
0,60,4.70421,4.529822,0.2185964
0,63,4.556005,4.370244,0.2211736
0,66,4.402454,4.210303,0.2233776
0,69,4.246742,4.052058,0.225273
0,72,4.091305,3.897025,0.226913
0,75,3.937967,3.746279,0.2283417
0,78,3.788061,3.600552,0.229595
0,81,3.642524,3.460309,0.2307025
0,84,3.501986,3.325809,0.2316884
0,87,3.366839,3.197165,0.2325725
0,90,3.237298,3.074364,0.2333707
0,93,3.113431,2.957301,0.2340963
0,96,2.995202,2.845833,0.2347602
0,99,2.88251,2.739772,0.2353716
0,102,2.775203,2.638906,0.2359379
0,105,2.673095,2.543006,0.2364656
0,108,2.575973,2.451831,0.2369596
0,111,2.483609,2.365138,0.2374244
0,114,2.39577,2.282688,0.2378636
0,117,2.312222,2.204247,0.2382802
0,120,2.232735,2.129587,0.2386768
0,135,1.888632,1.805779,0.2404253
0,150,1.616239,1.548393,0.2418945
0,165,1.39708,1.340421,0.243173
0,180,1.217941,1.169787,0.244309
0,195,1.069462,1.027927,0.2453319
0,210,0.9449423,0.908679,0.2462615
0,225,0.8394905,0.8075176,0.247112
0,240,0.7494692,0.7210522,0.2478946
0,255,0.6720989,0.6466751,0.2486181
0,270,0.6052239,0.5823517,0.2492897
0,285,0.5471327,0.5264589,0.2499156
0,300,0.4964493,0.4776866,0.2505009
0,315,0.4520534,0.4349643,0.2510504
0,330,0.4130209,0.3974072,0.2515679
0,345,0.378587,0.3642814,0.2520569
0,360,0.348112,0.334972,0.2525205
0,375,0.3210576,0.3089608,0.2529615
0,390,0.2969692,0.2858101,0.2533823
0,405,0.2754612,0.2651477,0.2537851
0,420,0.256204,0.246656,0.2541717
0,435,0.2389167,0.2300635,0.254544
0,450,0.2233577,0.2151371,0.2549034
0,465,0.209319,0.2016757,0.2552513
0,480,0.1966208,0.1895055,0.2555888
0,495,0.1851075,0.1784763,0.2559171
0,510,0.174644,0.1684572,0.256237
0,525,0.1651123,0.1593343,0.2565493
0,540,0.1564095,0.1510082,0.2568547
0,555,0.1484455,0.1433919,0.2571539
0,570,0.1411414,0.1364088,0.2574474
0,585,0.1344274,0.1299919,0.2577356
0,600,0.1282425,0.1240819,0.2580188
0,615,0.1225324,0.1186266,0.2582975
0,630,0.1172492,0.1135799,0.2585719
0,645,0.1123507,0.1089008,0.2588422
0,660,0.1077989,0.104553,0.2591086
0,675,0.1035606,0.1005043,0.2593713
0,690,0.09960583,0.09672595,0.2596304
0,705,0.09590801,0.09319239,0.2598861
0,720,0.09244344,0.08988087,0.2601382
0,735,0.08919095,0.08677104,0.2603871
0,750,0.08613157,0.08384474,0.2606326
0,765,0.08324835,0.08108571,0.2608749
0,780,0.08052604,0.0784794,0.2611139
0,795,0.07795102,0.07601276,0.2613497
0,810,0.07551104,0.07367411,0.2615823
0,825,0.0731951,0.07145295,0.2618117
0,840,0.0709933,0.06933986,0.2620379
0,855,0.06889673,0.06732638,0.2622609
0,870,0.06689738,0.06540488,0.2624807
0,885,0.06498799,0.06356852,0.2626973
0,900,0.06316207,0.06181108,0.2629107
0,915,0.0614137,0.06012701,0.2631209
0,930,0.05973756,0.05851126,0.263328
0,945,0.05812881,0.05695929,0.2635318
0,960,0.05658309,0.05546696,0.2637325
0,975,0.05509643,0.05403054,0.26393
0,990,0.05366522,0.05264664,0.2641244
0,1005,0.05228618,0.05131218,0.2643156
0,1020,0.05095631,0.05002435,0.2645037
0,1035,0.04967289,0.04878058,0.2646887
0,1050,0.04843341,0.04757853,0.2648707
0,1065,0.04723558,0.04641607,0.2650495
0,1080,0.0460773,0.04529122,0.2652254
0,1095,0.04495663,0.04420217,0.2653982
0,1110,0.04387179,0.04314725,0.265568
0,1125,0.04282112,0.04212493,0.2657349
0,1140,0.0418031,0.04113376,0.2658989
0,1155,0.0408163,0.04017243,0.2660601
0,1170,0.03985941,0.03923969,0.2662183
0,1185,0.03893118,0.03833439,0.2663738
0,1200,0.03803045,0.03745545,0.2665265
0,1215,0.03715616,0.03660186,0.2666765
0,1230,0.03630728,0.03577266,0.2668238
0,1245,0.03548284,0.03496696,0.2669684
0,1260,0.03468195,0.0341839,0.2671104
0,1275,0.03390374,0.03342267,0.2672499
0,1290,0.0331474,0.03268252,0.2673868
0,1305,0.03241217,0.03196272,0.2675213
0,1320,0.0316973,0.03126257,0.2676533
0,1335,0.03100209,0.03058141,0.2677828
0,1350,0.03032588,0.02991861,0.2679101
0,1365,0.02966802,0.02927356,0.268035
0,1380,0.0290279,0.02864569,0.2681576
0,1395,0.02840494,0.02803444,0.268278
0,1410,0.02779857,0.02743926,0.2683962
0,1425,0.02720824,0.02685965,0.2685123
0,1440,0.02663345,0.02629512,0.2686262
0,1455,0.02607368,0.02574517,0.268738
0,1470,0.02552845,0.02520935,0.2688479
0,1485,0.02499729,0.02468722,0.2689557
0,1500,0.02447977,0.02417835,0.2690615
0,1515,0.02397545,0.02368232,0.2691654
0,1530,0.0234839,0.02319874,0.2692675
0,1545,0.02300473,0.02272721,0.2693676
0,1560,0.02253755,0.02226737,0.269466
0,1575,0.02208198,0.02181885,0.2695626
0,1590,0.02163767,0.02138131,0.2696574
0,1605,0.02120425,0.0209544,0.2697505
0,1620,0.02078139,0.0205378,0.269842
0,1635,0.02036878,0.02013121,0.2699318
0,1650,0.01996608,0.0197343,0.2700199
0,1665,0.019573,0.0193468,0.2701065
0,1680,0.01918924,0.01896841,0.2701916
0,1695,0.01881452,0.01859886,0.270275
0,1710,0.01844857,0.01823789,0.270357
0,1725,0.01809112,0.01788524,0.2704376
0,1740,0.01774191,0.01754066,0.2705167
0,1755,0.0174007,0.01720391,0.2705943
0,1770,0.01706725,0.01687477,0.2706706
0,1785,0.01674133,0.01655301,0.2707455
0,1800,0.01642271,0.0162384,0.2708191
0,1815,0.01611119,0.01593076,0.2708914
0,1830,0.01580656,0.01562987,0.2709624
0,1845,0.01550861,0.01533554,0.2710321
0,1860,0.01521716,0.01504759,0.2711006
0,1875,0.01493202,0.01476583,0.2711678
0,1890,0.01465301,0.01449009,0.2712339
0,1905,0.01437996,0.0142202,0.2712988
0,1920,0.0141127,0.013956,0.2713625
0,1935,0.01385107,0.01369734,0.2714252
0,1950,0.01359492,0.01344406,0.2714867
0,1965,0.01334409,0.01319601,0.2715471
0,1980,0.01309844,0.01295306,0.2716064
0,1995,0.01285783,0.01271507,0.2716647
0,2010,0.01262213,0.01248191,0.271722
0,2025,0.01239121,0.01225345,0.2717782
0,2040,0.01216494,0.01202957,0.2718335
0,2055,0.0119432,0.01181015,0.2718877
0,2070,0.01172588,0.01159508,0.2719411
0,2085,0.01151286,0.01138425,0.2719934
0,2100,0.01130403,0.01117754,0.2720449
0,2115,0.0110993,0.01097487,0.2720954
0,2130,0.01089854,0.01077613,0.2721451
0,2145,0.01070168,0.01058123,0.2721938
0,2160,0.01050862,0.01039006,0.2722417
0,2175,0.01031925,0.01020255,0.2722887
0,2190,0.01013351,0.01001861,0.272335
0,2205,0.009951289,0.009838148,0.2723804
0,2220,0.009772519,0.009661089,0.2724249
0,2235,0.009597115,0.009487353,0.2724687
0,2250,0.009425002,0.009316866,0.2725118
0,2265,0.009256104,0.009149555,0.272554
0,2280,0.00909035,0.008985347,0.2725955
0,2295,0.008927668,0.008824174,0.2726363
0,2310,0.008767991,0.008665971,0.2726763
0,2325,0.008611254,0.008510672,0.2727157
0,2340,0.008457392,0.008358215,0.2727543
0,2355,0.008306345,0.008208539,0.2727922
0,2370,0.008158051,0.008061587,0.2728295
0,2385,0.008012453,0.007917299,0.2728661
0,2400,0.007869495,0.007775622,0.2729021
0,2415,0.007729121,0.007636501,0.2729374
0,2430,0.00759128,0.007499885,0.272972
0,2445,0.007455918,0.007365722,0.2730061
0,2460,0.007322987,0.007233963,0.2730396
0,2475,0.007192437,0.007104561,0.2730724
0,2490,0.00706422,0.006977469,0.2731047
0,2505,0.006938291,0.006852641,0.2731363
0,2520,0.006814606,0.006730033,0.2731675
0,2535,0.006693119,0.006609603,0.273198
0,2550,0.00657379,0.006491308,0.273228
0,2565,0.006456575,0.006375107,0.2732575
0,2580,0.006341436,0.006260962,0.2732864
0,2595,0.006228332,0.006148833,0.2733148
0,2610,0.006117227,0.006038683,0.2733427
0,2625,0.006008081,0.005930474,0.2733701
0,2640,0.005900858,0.005824171,0.273397
0,2655,0.005795524,0.005719739,0.2734235
0,2670,0.005692043,0.005617144,0.2734494
0,2685,0.005590382,0.005516351,0.2734749
0,2700,0.005490507,0.005417328,0.2734999
0,2715,0.005392385,0.005320044,0.2735244
0,2730,0.005295986,0.005224466,0.2735485
0,2745,0.005201278,0.005130565,0.2735722
0,2760,0.005108232,0.005038311,0.2735954
0,2775,0.005016816,0.004947674,0.2736183
0,2790,0.004927004,0.004858626,0.2736406
0,2805,0.004838765,0.004771139,0.2736626
0,2820,0.004752073,0.004685185,0.2736842
0,2835,0.0046669,0.004600738,0.2737054
0,2850,0.00458322,0.00451777,0.2737262
0,2865,0.004501007,0.004436258,0.2737466
0,2880,0.004420235,0.004356174,0.2737667
