"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Raltegravir|Concentration in container [µmol/l]","Organism|Lumen|Raltegravir|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0.001514714,0.01241574,0.003586244
0,6,0.01893969,0.06148525,0.01227169
0,9,0.05878042,0.1310919,0.02524587
0,12,0.1177616,0.2130405,0.04155356
0,15,0.1898821,0.2984678,0.05990144
0,18,0.2679402,0.3799223,0.07904759
0,21,0.3452778,0.4524038,0.09797576
0,24,0.4167498,0.5131395,0.1159448
0,27,0.4789583,0.5610899,0.1324772
0,30,0.5301095,0.5964636,0.1473203
0,33,0.5696969,0.620271,0.1603948
0,36,0.5981416,0.6339592,0.1717435
0,39,0.6164523,0.6391421,0.181486
0,42,0.6259515,0.637417,0.1897831
0,45,0.6280689,0.6302527,0.1968117
0,48,0.6242017,0.6189396,0.2027471
0,51,0.6156323,0.6045676,0.2077533
0,54,0.6034849,0.5880362,0.2119776
0,57,0.5887142,0.5700696,0.2155485
0,60,0.5721088,0.5512406,0.2185761
0,63,0.5543063,0.5319954,0.2211533
0,66,0.5358127,0.512674,0.2233579
0,69,0.517022,0.4935325,0.2252543
0,72,0.4982355,0.4747583,0.2268955
0,75,0.4796789,0.4564852,0.2283254
0,78,0.4615178,0.4388052,0.2295797
0,81,0.4438694,0.4217776,0.230688
0,84,0.4268138,0.4054369,0.2316742
0,87,0.4104012,0.3897986,0.2325584
0,90,0.3946596,0.3748637,0.2333565
0,93,0.3796003,0.3606228,0.2340821
0,96,0.3652213,0.3470592,0.234746
0,99,0.3515118,0.3341511,0.2353574
0,102,0.3384542,0.321873,0.2359238
0,105,0.3260264,0.3101974,0.2364514
0,108,0.3142032,0.2990955,0.2369455
0,111,0.3029575,0.2885382,0.2374102
0,114,0.2922614,0.2784967,0.2378493
0,117,0.2820868,0.2689427,0.2382659
0,120,0.272406,0.2598488,0.2386624
0,135,0.2304908,0.2204028,0.2404104
0,150,0.1973058,0.1890449,0.2418792
0,165,0.1706048,0.1637059,0.2431573
0,180,0.1487778,0.1429143,0.244293
0,195,0.1306842,0.1256261,0.2453156
0,210,0.1155073,0.1110907,0.2462448
0,225,0.1026521,0.09875759,0.2470951
0,240,0.09167541,0.08821359,0.2478774
0,255,0.08223954,0.07914187,0.2486006
0,270,0.07408176,0.07129454,0.249272
0,285,0.06699359,0.06447386,0.2498976
0,300,0.06080762,0.05852048,0.2504828
0,315,0.05538765,0.05330423,0.251032
0,330,0.05062139,0.0487176,0.2515493
0,345,0.04641565,0.04467113,0.2520381
0,360,0.04269258,0.04109001,0.2525015
0,375,0.0393867,0.03791121,0.2529424
0,390,0.03644266,0.03508139,0.253363
0,405,0.03381346,0.03255525,0.2537656
0,420,0.03145904,0.03029413,0.2541521
0,435,0.02934514,0.02826492,0.2545242
0,450,0.0274423,0.0264392,0.2548835
0,465,0.0257252,0.02479248,0.2552313
0,480,0.02417191,0.02330358,0.2555687
0,495,0.02276342,0.02195412,0.2558968
0,510,0.02148323,0.02072814,0.2562166
0,525,0.02031697,0.01961175,0.2565289
0,540,0.01925206,0.0185928,0.2568342
0,555,0.01827751,0.01766065,0.2571333
0,570,0.01738366,0.01680596,0.2574267
0,585,0.01656199,0.01602053,0.2577148
0,600,0.01580503,0.01529711,0.257998
0,615,0.01510614,0.01462931,0.2582766
0,630,0.01445948,0.01401149,0.2585509
0,645,0.01385985,0.01343863,0.2588212
0,660,0.01330263,0.01290629,0.2590876
0,675,0.01278373,0.01241052,0.2593502
0,690,0.0122995,0.0119478,0.2596093
0,705,0.01184669,0.01151502,0.2598649
0,720,0.01142238,0.01110937,0.260117
