"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Raltegravir|Concentration in container [µmol/l]","Organism|Lumen|Raltegravir|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,6,0.7840521,2.572179,0.03064111
0,12,5.013671,9.135529,0.1034347
0,18,11.544,16.42662,0.1961592
0,24,18.02897,22.21759,0.2868885
0,30,22.92862,25.77008,0.36352
0,36,25.79903,27.27637,0.4226705
0,42,26.88253,27.28492,0.4659024
0,48,26.67308,26.35166,0.4965586
0,54,25.65424,24.90507,0.5180209
0,60,24.19787,23.23183,0.5330448
0,66,22.55466,21.50743,0.5436586
0,72,20.87913,19.83155,0.5512801
0,78,19.25931,18.25591,0.5568725
0,84,17.74056,16.80322,0.5610826
0,90,16.34228,15.47935,0.5643421
0,96,15.06875,14.28087,0.5669401
0,102,13.91593,13.19957,0.5690714
0,108,12.87555,12.22517,0.5708677
0,114,11.93753,11.34677,0.5724178
0,120,11.09119,10.55358,0.5737811
0,126,10.32642,9.836032,0.5750015
0,132,9.634015,9.18544,0.5761102
0,138,9.005662,8.594065,0.57713
0,144,8.433985,8.055099,0.5780771
0,150,7.912499,7.562595,0.578964
0,156,7.435536,7.111372,0.5798
0,162,6.998167,6.696932,0.5805923
0,168,6.596106,6.315367,0.5813464
0,174,6.225623,5.963272,0.5820669
0,180,5.883474,5.637682,0.5827575
0,186,5.56683,5.336009,0.5834211
0,192,5.273221,5.055984,0.5840602
0,198,5.000479,4.795616,0.584677
0,204,4.746696,4.553144,0.5852734
0,210,4.510191,4.327012,0.585851
0,216,4.289474,4.115838,0.5864111
0,222,4.083215,3.918385,0.5869551
0,228,3.890229,3.733548,0.5874839
0,234,3.709455,3.560334,0.5879986
0,240,3.539934,3.397845,0.5885001
0,246,3.380809,3.245274,0.5889893
0,252,3.231302,3.101889,0.5894667
0,258,3.090708,2.967023,0.5899332
0,264,2.958383,2.840067,0.5903893
0,270,2.83374,2.720467,0.5908355
0,276,2.716244,2.607712,0.5912725
0,282,2.605402,2.501335,0.5917006
0,288,2.500763,2.400905,0.5921204
0,294,2.401911,2.306029,0.5925323
0,300,2.308465,2.21634,0.5929365
0,306,2.220071,2.131501,0.5933336
0,312,2.136403,2.0512,0.5937238
0,318,2.057158,1.975149,0.5941074
0,324,1.982058,1.903079,0.5944848
0,330,1.910841,1.834741,0.5948562
0,336,1.843269,1.769905,0.5952219
0,342,1.779116,1.708357,0.5955821
0,348,1.718175,1.649895,0.595937
0,354,1.660253,1.594336,0.5962869
0,360,1.605166,1.541503,0.5966319
0,366,1.55274,1.491206,0.596972
0,372,1.502739,1.443168,0.5973061
0,378,1.454979,1.397289,0.5976344
0,384,1.409341,1.353459,0.597957
0,390,1.365714,1.311569,0.5982741
0,396,1.323993,1.271517,0.598586
0,402,1.284078,1.233204,0.5988927
0,408,1.245872,1.196539,0.5991945
0,414,1.209285,1.161434,0.5994915
0,420,1.174231,1.127794,0.5997837
0,426,1.140592,1.095482,0.6000705
0,432,1.108272,1.06444,0.6003523
0,438,1.077209,1.034614,0.600629
0,444,1.047346,1.005945,0.6009009
0,450,1.018626,0.9783798,0.6011682
0,456,0.9909965,0.9518661,0.6014309
0,462,0.9644065,0.9263545,0.6016892
0,468,0.9388076,0.9017976,0.6019433
0,474,0.9141535,0.8781508,0.6021932
