"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Raltegravir|Concentration in container [µmol/l]","Organism|Lumen|Raltegravir|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0.02436393,0.2003049,0.003586304
0,6,0.3084093,1.007651,0.01227172
0,9,0.9680899,2.174065,0.02524584
0,12,1.956949,3.562861,0.04155345
0,15,3.176895,5.019955,0.05990115
0,18,4.504718,6.412974,0.07904721
0,21,5.824076,7.652263,0.09797543
0,24,7.044011,8.687945,0.1159443
0,27,8.104274,9.501451,0.1324766
0,30,8.973027,10.09669,0.1473195
0,33,9.641483,10.49199,0.1603939
0,36,10.11739,10.71341,0.1717422
0,39,10.41893,10.78964,0.181482
0,42,10.56963,10.74873,0.1897739
0,45,10.59472,10.61646,0.1967946
0,48,10.51874,10.41521,0.20272
0,51,10.364,10.16367,0.2077142
0,54,10.14988,9.877086,0.2119247
0,57,9.892692,9.567642,0.2154804
0,60,9.60579,9.244888,0.2184918
0,63,9.299885,8.916201,0.221052
0,66,8.983414,8.587173,0.2232389
0,69,8.662898,8.261973,0.2251172
0,72,8.343292,7.943635,0.2267403
0,75,8.028288,7.634308,0.228152
0,78,7.720551,7.335435,0.2293885
0,81,7.421949,7.047927,0.230479
0,84,7.133743,6.772296,0.231448
0,87,6.856719,6.508752,0.2323153
0,90,6.591287,6.257267,0.2330972
0,93,6.337579,6.017646,0.2338071
0,96,6.095524,5.789573,0.2344561
0,99,5.864902,5.572651,0.2350532
0,102,5.645389,5.366434,0.235606
0,105,5.436586,5.170438,0.2361207
0,108,5.23805,4.984164,0.2366025
0,111,5.049309,4.807111,0.2370559
0,114,4.869879,4.638783,0.2374842
0,117,4.699277,4.478697,0.2378907
0,120,4.537024,4.326384,0.2382779
0,135,3.835361,3.666465,0.2399893
0,150,3.280926,3.142859,0.2414365
0,165,2.835641,2.720528,0.2427063
0,180,2.472293,2.374603,0.2438445
0,195,2.171606,2.087453,0.2448789
