"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Raltegravir|Concentration in container [µmol/l]","Organism|Lumen|Raltegravir|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0.03171943,0.2619041,0.004696714
0,6,0.4066142,1.335207,0.01619357
0,9,1.286953,2.90359,0.03347252
0,12,2.616845,4.783786,0.05528871
0,15,4.267162,6.767241,0.07992708
0,18,6.072451,8.673351,0.1057257
0,21,7.874822,10.3784,0.1313138
0,24,9.549611,11.81214,0.1556828
0,27,11.01311,12.9468,0.1781755
0,30,12.21991,13.78542,0.1984365
0,33,13.156,14.35114,0.2163432
0,36,13.83011,14.67792,0.2319382
0,39,14.26553,14.80423,0.2453723
0,42,14.49353,14.76832,0.2568551
0,45,14.54808,14.60524,0.2666191
0,48,14.46247,14.34557,0.2748974
0,51,14.26709,14.01503,0.281909
0,54,13.98848,13.63463,0.2878512
0,57,13.64904,13.22123,0.292897
0,60,13.26719,12.78805,0.2971952
0,63,12.85775,12.34539,0.3008718
0,66,12.43242,11.90103,0.3040324
0,69,12.00026,11.4608,0.3067648
0,72,11.56819,11.02898,0.3091416
0,75,11.14139,10.60865,0.3112229
0,78,10.72365,10.20189,0.3130579
0,81,10.31765,9.810038,0.3146874
0,84,9.925183,9.433882,0.3161446
0,87,9.547416,9.073769,0.3174569
0,90,9.184983,8.72973,0.3186469
0,93,8.838137,8.401555,0.3197333
0,96,8.506843,8.088866,0.3207314
0,99,8.190853,7.791169,0.321654
0,102,7.889771,7.507885,0.3225116
0,105,7.603094,7.238391,0.3233129
0,108,7.330252,6.982036,0.3240655
0,111,7.070636,6.738161,0.3247754
0,114,6.823613,6.506113,0.3254478
0,117,6.588544,6.285249,0.3260871
0,120,6.364799,6.074946,0.326697
0,135,5.395059,5.161848,0.3293995
0,150,4.62615,4.434961,0.3316865
0,165,4.006754,3.846962,0.3336884
0,180,3.499982,3.364095,0.3354769
0,195,3.079596,2.962329,0.3370958
0,210,2.726767,2.624338,0.3385746
0,225,2.427752,2.337399,0.3399345
0,240,2.17229,2.091946,0.3411919
0,255,1.95255,1.88063,0.3423598
0,270,1.762453,1.697715,0.3434488
0,285,1.597179,1.538629,0.3444683
0,300,1.452842,1.399674,0.3454259
0,315,1.326291,1.27784,0.3463285
0,330,1.214932,1.170643,0.3471822
0,345,1.116613,1.076018,0.3479923
0,360,1.029538,0.9922379,0.3487637
0,375,0.9521969,0.9178507,0.3495006
0,390,0.883309,0.8516214,0.350207
0,405,0.8217894,0.792502,0.3508861
0,420,0.7666205,0.7394584,0.3515395
0,435,0.7169384,0.6917154,0.3521689
0,450,0.6721077,0.6486585,0.3527769
0,465,0.6315699,0.6097453,0.3533657
0,480,0.5948351,0.5745005,0.3539374
0,495,0.5614744,0.5425085,0.3544935
0,510,0.531112,0.5134052,0.3550356
0,525,0.5034187,0.4868718,0.3555651
0,540,0.4781056,0.4626285,0.3560832
0,555,0.454918,0.4404289,0.3565907
0,570,0.4336309,0.4200551,0.3570886
0,585,0.414046,0.4013154,0.3575776
0,600,0.3959881,0.3840404,0.3580585
0,615,0.3793022,0.3680803,0.3585316
0,630,0.3638506,0.3533021,0.3589975
0,645,0.3495108,0.3395875,0.3594565
0,660,0.3361739,0.3268314,0.3599091
0,675,0.323743,0.3149404,0.3603553
0,690,0.3121314,0.3038313,0.3607955
0,705,0.3012621,0.2934296,0.3612299
0,720,0.291066,0.2836689,0.3616585
0,735,0.2814812,0.27449,0.3620814
0,750,0.2724527,0.2658399,0.3624988
0,765,0.263931,0.2576712,0.3629107
0,780,0.2558717,0.2499414,0.3633171
0,795,0.248235,0.2426125,0.3637181
0,810,0.2409853,0.2356505,0.3641137
0,825,0.2340906,0.2290248,0.3645039
0,840,0.2275222,0.222708,0.3648887
0,855,0.2212541,0.2166755,0.3652682
0,870,0.2152633,0.2109054,0.3656422
0,885,0.2095288,0.2053778,0.3660109
0,900,0.2040318,0.2000749,0.3663743
0,915,0.1987553,0.1949806,0.3667322
0,930,0.1936842,0.1900805,0.3670848
0,945,0.1888046,0.1853617,0.367432
0,960,0.184104,0.1808124,0.3677739
0,975,0.1795713,0.1764221,0.3681104
0,990,0.1751962,0.1721811,0.3684417
0,1005,0.1709696,0.1680809,0.3687676
0,1020,0.1668829,0.1641134,0.3690883
0,1035,0.1629287,0.1602717,0.3694037
0,1050,0.1590999,0.1565493,0.369714
0,1065,0.1553902,0.1529401,0.3700191
0,1080,0.1517938,0.1494388,0.3703191
0,1095,0.1483054,0.1460403,0.3706141
0,1110,0.1449201,0.1427403,0.3709039
0,1125,0.1416333,0.1395343,0.3711889
0,1140,0.1384409,0.1364186,0.3714689
0,1155,0.135339,0.1333896,0.3717441
0,1170,0.1323241,0.1304438,0.3720144
0,1185,0.1293928,0.1275783,0.37228
0,1200,0.1265419,0.12479,0.372541
0,1215,0.1237686,0.1220762,0.3727973
0,1230,0.12107,0.1194344,0.3730491
0,1245,0.1184436,0.1168621,0.3732964
0,1260,0.115887,0.114357,0.3735393
0,1275,0.1133977,0.1119169,0.3737778
0,1290,0.1109736,0.1095398,0.3740121
0,1305,0.1086126,0.1072237,0.3742421
0,1320,0.1063126,0.1049666,0.374468
0,1335,0.1040719,0.1027668,0.3746899
0,1350,0.1018884,0.1006226,0.3749077
0,1365,0.09976043,0.09853224,0.3751217
0,1380,0.09768633,0.09649414,0.3753317
0,1395,0.09566445,0.09450674,0.375538
0,1410,0.0936932,0.09256856,0.3757405
0,1425,0.09177109,0.09067816,0.3759394
0,1440,0.08989663,0.08883411,0.3761347
