"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Raltegravir|Concentration in container [µmol/l]","Organism|Lumen|Raltegravir|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0.0008840606,0.00866475,0.0001917279
0,6,0.01814511,0.06878424,0.000910853
0,9,0.07131575,0.1769545,0.002153821
0,12,0.1626639,0.3193061,0.003881057
0,15,0.2875779,0.4874984,0.00604618
0,18,0.440129,0.6752536,0.008601571
0,21,0.6145864,0.8775109,0.01150247
0,24,0.805862,1.090168,0.01470846
0,27,1.009619,1.309876,0.01818361
0,30,1.222226,1.533884,0.02189611
0,33,1.440654,1.759914,0.02581768
0,36,1.662403,1.986092,0.02992328
0,39,1.885374,2.210846,0.03419029
0,42,2.10783,2.432872,0.03859842
0,45,2.328339,2.651101,0.04312942
0,48,2.545711,2.864645,0.04776667
0,51,2.758959,3.072776,0.05249503
0,54,2.967271,3.274899,0.05730066
0,57,3.169984,3.470533,0.06217087
0,60,3.366564,3.6593,0.06709405
0,63,3.55658,3.840903,0.07205945
0,66,3.739688,4.015115,0.07705717
0,69,3.91562,4.181767,0.08207803
0,72,4.084179,4.340747,0.08711357
0,75,4.245224,4.491987,0.09215594
0,78,4.398665,4.635462,0.09719791
0,81,4.544454,4.771178,0.1022328
0,84,4.682581,4.899174,0.1072543
0,87,4.813064,5.01951,0.1122567
0,90,4.935951,5.13227,0.1172347
0,93,5.05131,5.237556,0.1221834
0,96,5.159233,5.335485,0.1270982
0,99,5.259827,5.426189,0.131975
0,102,5.353215,5.509804,0.1368096
0,105,5.439515,5.586427,0.141598
0,108,5.518846,5.65622,0.1463371
0,111,5.591358,5.71937,0.1510239
0,114,5.657219,5.776058,0.1556557
0,117,5.716603,5.826471,0.1602301
0,120,5.769692,5.870798,0.164745
0,135,5.947216,6.007838,0.1863649
0,150,5.995596,6.021519,0.2062849
0,165,5.938257,5.935245,0.2244329
0,180,5.797133,5.770652,0.2408105
0,195,5.592196,5.547245,0.2554722
0,210,5.340966,5.281981,0.2685088
0,225,5.058403,4.989231,0.2800345
0,240,4.757006,4.680908,0.2901761
0,255,4.446953,4.366637,0.2990653
0,270,4.13632,4.053988,0.306833
0,285,3.831336,3.748737,0.3136053
0,300,3.536638,3.455129,0.3195008
0,315,3.255524,3.176127,0.3246295
0,330,2.990183,2.913638,0.329091
0,345,2.74192,2.668738,0.3329752
0,360,2.511336,2.44184,0.3363616
0,375,2.298485,2.232848,0.3393205
0,390,2.102999,2.041246,0.3419127
0,405,1.923932,1.865958,0.3441871
0,420,1.760435,1.706187,0.3461895
0,435,1.611655,1.561021,0.3479601
0,450,1.476624,1.429451,0.349533
0,465,1.354322,1.310433,0.3509377
0,480,1.243716,1.20292,0.3521989
0,495,1.143794,1.105893,0.3533377
0,510,1.053581,1.018379,0.354372
0,525,0.9721567,0.9394608,0.3553168
0,540,0.8986573,0.8682826,0.3561847
0,555,0.8322866,0.8040572,0.3569864
0,570,0.7723145,0.7460648,0.3577308
0,585,0.718076,0.6936514,0.3584256
0,600,0.6689687,0.6462258,0.3590771
0,615,0.62445,0.6032563,0.3596907
0,630,0.5840329,0.5642664,0.3602709
0,645,0.5472818,0.528831,0.3608215
0,660,0.5138087,0.4965711,0.361346
0,675,0.4832679,0.4671502,0.361847
0,690,0.4553529,0.4402696,0.362327
0,705,0.4297914,0.4156648,0.3627881
0,720,0.4063424,0.3931014,0.363232
0,735,0.3847921,0.3723719,0.3636603
0,750,0.3649514,0.3532928,0.3640744
0,765,0.3466526,0.3357013,0.3644755
0,780,0.329747,0.3194534,0.3648645
0,795,0.3141026,0.3044213,0.3652425
0,810,0.2996022,0.2904915,0.3656104
0,825,0.2861413,0.2775628,0.3659687
0,840,0.2736268,0.2655452,0.3663182
0,855,0.2619758,0.2543585,0.3666595
0,870,0.2511138,0.2439308,0.3669931
0,885,0.2409746,0.2341979,0.3673195
0,900,0.2314984,0.2251022,0.3676392
0,915,0.222631,0.2165913,0.3679526
0,930,0.2143237,0.2086182,0.3682599
0,945,0.2065321,0.2011402,0.3685616
0,960,0.1992164,0.1941187,0.3688579
0,975,0.1923403,0.1875188,0.3691492
0,990,0.1858708,0.1813086,0.3694356
0,1005,0.1797776,0.1754591,0.3697174
0,1020,0.1740332,0.1699436,0.3699949
0,1035,0.1686123,0.1647378,0.3702681
0,1050,0.1634917,0.1598194,0.3705372
0,1065,0.15865,0.1551678,0.3708025
0,1080,0.1540677,0.1507643,0.371064
0,1095,0.1497266,0.1465913,0.3713219
0,1110,0.1456101,0.1426329,0.3715762
0,1125,0.1417027,0.1388743,0.3718272
0,1140,0.1379903,0.1353017,0.3720749
0,1155,0.1344595,0.1319026,0.3723194
0,1170,0.1310982,0.1286652,0.3725607
0,1185,0.1278951,0.1255787,0.372799
0,1200,0.1248397,0.1226329,0.3730342
0,1215,0.1219222,0.1198187,0.3732666
0,1230,0.1191336,0.1171272,0.373496
0,1245,0.1164655,0.1145506,0.3737227
0,1260,0.1139101,0.1120813,0.3739465
0,1275,0.1114601,0.1097124,0.3741676
0,1290,0.1091088,0.1074375,0.374386
0,1305,0.10685,0.1052506,0.3746018
0,1320,0.1046779,0.1031462,0.3748149
0,1335,0.102587,0.1011191,0.3750254
0,1350,0.1005724,0.09916458,0.3752334
0,1365,0.09862929,0.09727818,0.3754388
0,1380,0.09675346,0.09545576,0.3756417
0,1395,0.09494082,0.09369347,0.3758421
0,1410,0.09318759,0.09198774,0.37604
0,1425,0.09149032,0.09033526,0.3762355
0,1440,0.08984574,0.08873293,0.3764285
