"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Raltegravir|Concentration in container [µmol/l]","Organism|Lumen|Raltegravir|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0.01650692,0.1363181,0.002461703
0,6,0.2114113,0.6937247,0.008526787
0,9,0.6684778,1.50773,0.01768002
0,12,1.359094,2.485009,0.02927419
0,15,2.217173,3.518301,0.04240547
0,18,3.157549,4.513913,0.05619147
0,21,4.098513,5.407283,0.06990047
0,24,4.975224,6.161424,0.08299034
0,27,5.743872,6.761413,0.09510463
0,30,6.380501,7.208432,0.1060472
0,33,6.877459,7.514088,0.1157475
0,36,7.238914,7.695773,0.1242241
0,39,7.476649,7.773117,0.1315531
0,42,7.606549,7.765618,0.1378428
0,45,7.645941,7.691186,0.143214
0,48,7.611769,7.565392,0.1477882
0,51,7.519561,7.401511,0.1516811
0,54,7.382969,7.210491,0.1549972
0,57,7.213617,7.001168,0.1578287
0,60,7.021154,6.780561,0.1602553
0,63,6.813323,6.554081,0.1623441
0,66,6.596265,6.325875,0.1641517
0,69,6.374798,6.099095,0.165725
0,72,6.152627,5.876073,0.1671034
0,75,5.93254,5.658485,0.1683191
0,78,5.716577,5.447487,0.1693988
0,81,5.506211,5.243851,0.1703643
0,84,5.302472,5.048052,0.1712338
0,87,5.106027,4.860331,0.1720224
0,90,4.917264,4.680748,0.1727422
0,93,4.736362,4.509231,0.1734035
0,96,4.563344,4.345615,0.1740147
0,99,4.398118,4.189673,0.1745828
0,102,4.240509,4.04113,0.1751136
0,105,4.090281,3.899679,0.175612
0,108,3.947158,3.764999,0.1760822
0,111,3.810841,3.636761,0.1765274
0,114,3.681017,3.514636,0.1769506
0,117,3.557367,3.398301,0.1773543
0,120,3.439572,3.287439,0.1777404
0,135,2.927867,2.805044,0.1794629
0,150,2.520681,2.41969,0.1809314
0,165,2.191573,2.106908,0.1822213
0,180,1.921133,1.848822,0.1833706
0,195,1.695729,1.633089,0.184406
0,210,1.505727,1.450831,0.1853471
0,225,1.34406,1.295493,0.186208
0,240,1.205429,1.162132,0.1870001
0,255,1.085794,1.046947,0.1877322
0,270,0.9819808,0.9469432,0.1884119
0,285,0.8914618,0.8597189,0.1890455
0,300,0.8122102,0.7833419,0.1896384
0,315,0.7425636,0.7162225,0.1901953
0,330,0.6811501,0.6570452,0.1907203
0,345,0.6268285,0.6047134,0.191217
0,360,0.5786397,0.5583039,0.1916888
0,375,0.5357754,0.5170374,0.1921383
0,390,0.4975489,0.4802516,0.1925682
0,405,0.4633746,0.4473807,0.1929807
0,420,0.4327507,0.4179396,0.1933778
0,435,0.4052461,0.3915115,0.1937613
0,450,0.3804887,0.367736,0.1941327
0,465,0.3581561,0.3463012,0.1944935
0,480,0.337968,0.3269354,0.1948448
0,495,0.3196802,0.3094023,0.1951877
0,510,0.3030793,0.293495,0.1955232
0,525,0.2879782,0.2790323,0.195852
0,540,0.2742126,0.2658547,0.1961749
0,555,0.2616376,0.2538222,0.1964924
0,570,0.2501255,0.242811,0.1968051
0,585,0.2395634,0.2327117,0.1971133
0,600,0.2298511,0.2234274,0.1974175
0,615,0.2209001,0.2148724,0.1977179
0,630,0.2126313,0.2069704,0.1980148
0,645,0.2049748,0.1996537,0.1983083
0,660,0.1978681,0.192862,0.1985987
0,675,0.1912556,0.1865417,0.198886
0,690,0.1850878,0.180645,0.1991703
0,705,0.1793205,0.1751295,0.1994517
0,720,0.1739142,0.169957,0.1997302
0,735,0.1688337,0.1650939,0.2000058
0,750,0.1640476,0.1605098,0.2002786
0,765,0.1595278,0.156178,0.2005484
0,780,0.1552493,0.1520745,0.2008155
0,795,0.1511896,0.1481778,0.2010796
0,810,0.1473288,0.1444689,0.2013407
0,825,0.1436491,0.1409308,0.201599
0,840,0.1401345,0.1375484,0.2018542
0,855,0.1367709,0.1343082,0.2021063
0,870,0.1335456,0.1311982,0.2023554
0,885,0.1304473,0.1282077,0.2026015
0,900,0.1274659,0.1253272,0.2028444
0,915,0.1245924,0.1225482,0.2030841
0,930,0.1218189,0.1198632,0.2033206
0,945,0.1191381,0.1172655,0.203554
0,960,0.1165436,0.1147491,0.2037841
0,975,0.1140299,0.1123086,0.204011
0,990,0.1115918,0.1099394,0.2042347
0,1005,0.1092247,0.1076372,0.2044551
0,1020,0.1069245,0.1053982,0.2046722
0,1035,0.1046877,0.1032191,0.2048862
0,1050,0.1025109,0.1010968,0.2050968
0,1065,0.1003913,0.09902859,0.2053042
0,1080,0.09832605,0.09701205,0.2055084
0,1095,0.09631287,0.09504497,0.2057094
0,1110,0.09434956,0.09312535,0.2059072
0,1125,0.09243415,0.09125139,0.2061018
0,1140,0.09056484,0.08942143,0.2062933
0,1155,0.08873998,0.08763396,0.2064817
0,1170,0.08695804,0.0858876,0.2066669
0,1185,0.08521763,0.08418106,0.2068491
0,1200,0.08351745,0.08251316,0.2070283
0,1215,0.0818563,0.0808828,0.2072044
0,1230,0.08023303,0.07928891,0.2073776
0,1245,0.07864659,0.07773054,0.2075479
0,1260,0.07709597,0.07620674,0.2077152
0,1275,0.07558021,0.07471666,0.2078798
0,1290,0.07409842,0.07325944,0.2080415
0,1305,0.07264972,0.07183429,0.2082004
0,1320,0.07123327,0.07044043,0.2083566
0,1335,0.06984829,0.0690771,0.2085101
0,1350,0.068494,0.0677436,0.2086609
0,1365,0.06716965,0.06643921,0.2088091
0,1380,0.06587451,0.06516326,0.2089548
0,1395,0.06460788,0.06391508,0.2090979
0,1410,0.06336907,0.06269403,0.2092386
0,1425,0.06215742,0.06149946,0.2093768
0,1440,0.06097227,0.06033076,0.2095125
