"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Raltegravir|Concentration in container [µmol/l]","Organism|Lumen|Raltegravir|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0.0489465,0.4033381,0.00358622
0,6,0.6245592,2.047459,0.01227157
0,9,1.970613,4.436782,0.02524563
0,12,3.995242,7.286784,0.04155316
0,15,6.497404,10.28012,0.05990084
0,18,9.22416,13.14514,0.07904684
0,21,11.93667,15.69765,0.09797502
0,24,14.44799,17.83436,0.1159439
0,27,16.63368,19.51574,0.132476
0,30,18.4272,20.74808,0.1473167
0,33,19.809,21.5674,0.160386
0,36,20.79375,22.02662,0.1717264
0,39,21.41805,22.1848,0.1814576
0,42,21.73019,22.10028,0.1897409
0,45,21.78223,21.82644,0.1967531
0,48,21.62489,21.40973,0.2026698
0,51,21.30457,20.88913,0.2076555
0,54,20.86153,20.29634,0.2118578
0,57,20.32955,19.65669,0.2154052
0,60,19.73642,18.98996,0.2184081
0,63,19.1044,18.31138,0.2209598
0,66,18.45091,17.63251,0.2231383
0,69,17.78944,16.96187,0.2250082
0,72,17.13019,16.30568,0.2266228
0,75,16.48071,15.66829,0.2280262
0,78,15.84648,15.05266,0.2292542
0,81,15.2313,14.46062,0.2303365
0,84,14.63774,13.89317,0.2312973
0,87,14.06734,13.35071,0.2321564
0,90,13.52092,12.83314,0.2329301
0,93,12.99871,12.34004,0.2336318
0,96,12.50056,11.87076,0.2342727
0,99,12.026,11.42446,0.2348617
0,102,11.57434,11.00021,0.2354064
0,105,11.14475,10.59701,0.2359131
0,108,10.73631,10.21382,0.236387
0,111,10.34803,9.849615,0.2368324
0,114,9.978923,9.50336,0.2372529
0,117,9.627982,9.174059,0.2376515
0,120,9.294222,8.860751,0.2380309
0,135,7.850905,7.503321,0.2397039
0,150,6.710452,6.426306,0.2411139
0,165,5.794496,5.55751,0.2423465
0,180,5.046789,4.84561,0.2434462
0,195,4.42798,4.254695,0.2444418
0,210,3.909925,3.758871,0.2453524
0,225,3.47207,3.339103,0.2461919
0,240,3.099046,2.981059,0.2469706
0,255,2.779119,2.673728,0.2476967
0,270,2.503195,2.408521,0.2483766
0,285,2.264021,2.178563,0.249016
0,300,2.055704,1.978195,0.249619
0,315,1.873331,1.802748,0.2501883
0,330,1.713066,1.648588,0.2507274
0,345,1.571747,1.512681,0.2512396
0,360,1.446734,1.392488,0.2517276
0,375,1.335788,1.285856,0.2521941
0,390,1.237032,1.190977,0.2526412
0,405,1.148883,1.106325,0.2530712
0,420,1.06999,1.030595,0.2534856
0,435,0.9991905,0.9626677,0.2538864
0,450,0.9354912,0.901583,0.2542749
0,465,0.878037,0.8465149,0.2546524
0,480,0.8260885,0.7967491,0.2550201
0,495,0.7790058,0.7516668,0.255379
0,510,0.7362323,0.7107302,0.2557299
0,525,0.6972098,0.6733369,0.256073
0,540,0.6613228,0.638937,0.2564074
0,555,0.6282674,0.6072685,0.2567341
0,570,0.5977808,0.5780724,0.2570534
0,585,0.5696192,0.551111,0.257366
0,600,0.5435604,0.5261683,0.2576722
0,615,0.5194042,0.5030502,0.2579725
0,630,0.4969702,0.4815823,0.2582672
0,645,0.476097,0.4616086,0.2585566
0,660,0.45664,0.4429895,0.2588409
0,675,0.4384695,0.4255999,0.2591204
0,690,0.4214692,0.4093281,0.2593952
0,705,0.4055354,0.3940739,0.2596655
0,720,0.3905745,0.3797476,0.2599314
0,735,0.3765026,0.3662685,0.2601931
0,750,0.3632444,0.3535645,0.2604507
0,765,0.3507322,0.3415705,0.2607042
0,780,0.3389049,0.3302281,0.2609536
0,795,0.3277075,0.3194846,0.2611992
0,810,0.3170903,0.3092926,0.2614408
0,825,0.3070085,0.2996093,0.2616787
0,840,0.2974216,0.290396,0.2619127
0,855,0.2882929,0.2816179,0.262143
0,870,0.2795892,0.2732432,0.2623696
0,885,0.2712804,0.2652434,0.2625925
0,900,0.2633393,0.2575925,0.2628118
0,915,0.2557408,0.2502671,0.2630274
0,930,0.2484626,0.2432456,0.2632395
0,945,0.2414839,0.2365086,0.263448
0,960,0.2347862,0.2300385,0.263653
0,975,0.2283522,0.2238189,0.2638546
0,990,0.2221664,0.2178352,0.2640527
0,1005,0.2162143,0.2120738,0.2642473
0,1020,0.210483,0.2065224,0.2644386
0,1035,0.2049602,0.2011696,0.2646265
0,1050,0.1996348,0.1960048,0.2648112
0,1065,0.1944968,0.1910186,0.2649926
0,1080,0.1895365,0.1862019,0.2651707
0,1095,0.1847453,0.1815466,0.2653457
0,1110,0.180115,0.177045,0.2655175
0,1125,0.1756382,0.1726901,0.2656862
0,1140,0.1713078,0.1684753,0.2658519
0,1155,0.1671172,0.1643944,0.2660146
0,1170,0.1630605,0.1604417,0.2661743
0,1185,0.1591318,0.1566118,0.2663311
0,1200,0.1553259,0.1528997,0.266485
0,1215,0.1516376,0.1493006,0.2666361
0,1230,0.1480623,0.1458101,0.2667844
0,1245,0.1445954,0.1424239,0.26693
0,1260,0.1412328,0.1391381,0.2670729
0,1275,0.1379704,0.1359488,0.2672131
0,1290,0.1348044,0.1328525,0.2673508
0,1305,0.1317313,0.1298458,0.2674859
0,1320,0.1287475,0.1269253,0.2676185
0,1335,0.1258499,0.1240881,0.2677487
0,1350,0.1230353,0.1213312,0.2678765
0,1365,0.1203007,0.1186516,0.2680019
0,1380,0.1176434,0.1160468,0.2681249
0,1395,0.1150605,0.1135142,0.2682458
0,1410,0.1125494,0.1110512,0.2683643
0,1425,0.1101078,0.1086554,0.2684807
0,1440,0.1077331,0.1063247,0.268595
0,1455,0.1054232,0.1040567,0.2687071
0,1470,0.1031757,0.1018495,0.2688172
0,1485,0.1009885,0.09970088,0.2689252
0,1500,0.09885968,0.09760897,0.2690313
0,1515,0.09678721,0.09557188,0.2691354
0,1530,0.09476922,0.09358781,0.2692376
0,1545,0.09280388,0.09165499,0.269338
0,1560,0.09088945,0.08977177,0.2694365
0,1575,0.08902425,0.08793652,0.2695332
0,1590,0.08720666,0.08614768,0.2696282
0,1605,0.08543512,0.08440375,0.2697214
0,1620,0.08370814,0.08270328,0.269813
0,1635,0.08202425,0.08104488,0.2699029
0,1650,0.08038207,0.07942719,0.2699911
