"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Raltegravir|Concentration in container [µmol/l]","Organism|Lumen|Raltegravir|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0.005256108,0.02547152,0.0004692095
0,6,0.0563274,0.1313436,0.001748493
0,9,0.1579444,0.2810583,0.003703613
0,12,0.2977913,0.4632253,0.006311709
0,15,0.4686713,0.6712384,0.009539851
0,18,0.6647306,0.8990095,0.01334686
0,21,0.8807257,1.141457,0.01769004
0,24,1.112132,1.394533,0.02252829
0,27,1.355162,1.655015,0.02782297
0,30,1.606653,1.920279,0.03353789
0,33,1.863942,2.188142,0.03963907
0,36,2.124786,2.456773,0.04609465
0,39,2.387254,2.724589,0.05287439
0,42,2.649686,2.990232,0.0599497
0,45,2.91064,3.252514,0.06729335
0,48,3.16887,3.51041,0.07487945
0,51,3.423296,3.763031,0.08268347
0,54,3.672982,4.009614,0.09068201
0,57,3.917118,4.249496,0.0988528
0,60,4.155004,4.482112,0.1071747
0,63,4.386041,4.706981,0.1156275
0,66,4.609721,4.923703,0.1241921
0,69,4.825613,5.131946,0.1328504
0,72,5.033361,5.33144,0.1415851
0,75,5.232671,5.521971,0.15038
0,78,5.423308,5.703378,0.1592197
0,81,5.605088,5.875541,0.1680894
0,84,5.777875,6.038387,0.1769755
0,87,5.941578,6.191879,0.1858649
0,90,6.096141,6.336013,0.1947454
0,93,6.241544,6.470815,0.2036055
0,96,6.3778,6.596339,0.2124344
0,99,6.504948,6.712665,0.2212218
0,102,6.623051,6.819888,0.2299581
0,105,6.732157,6.91801,0.2386332
0,108,6.832294,7.007126,0.2472384
0,111,6.923587,7.087442,0.2557662
0,114,7.0062,7.159152,0.2642095
0,117,7.080309,7.222453,0.2725617
0,120,7.146096,7.277552,0.2808167
0,135,7.357252,7.437648,0.3204575
0,150,7.39237,7.426877,0.3570296
0,165,7.281034,7.275877,0.390253
0,180,7.052041,7.01288,0.4200122
0,195,6.726196,6.658996,0.4462344
0,210,6.339408,6.253088,0.4692054
0,225,5.919066,5.819685,0.4892484
0,240,5.482897,5.375063,0.5066537
0,255,5.044264,4.931755,0.5217023
0,270,4.613458,4.49936,0.534666
0,285,4.19815,4.084918,0.5458022
0,300,3.803726,3.693248,0.5553488
0,315,3.433458,3.326963,0.5635167
0,330,3.088442,2.986836,0.5704839
0,345,2.769904,2.673928,0.5764204
0,360,2.478095,2.38818,0.5814779
0,375,2.212478,2.128823,0.5857877
0,390,1.972005,1.894634,0.5894634
0,405,1.755303,1.684106,0.5926025
0,420,1.560791,1.495567,0.5952885
0,435,1.38679,1.327268,0.5975923
0,450,1.231595,1.177461,0.5995741
0,465,1.093522,1.044435,0.6012852
0,480,0.9709479,0.9265541,0.6027682
0,495,0.8623313,0.8222742,0.6040596
0,510,0.7662309,0.7301599,0.6051897
0,525,0.6813127,0.6488882,0.6061839
0,540,0.6063508,0.5772486,0.6070637
0,555,0.5402326,0.5141476,0.6078467
0,570,0.4819483,0.4585936,0.6085479
0,585,0.4305913,0.4097015,0.6091798
0,600,0.3853487,0.3666783,0.6097527
0,615,0.3454955,0.3288194,0.6102751
0,630,0.3103866,0.2954997,0.6107546
0,645,0.2794514,0.2661663,0.6111971
0,660,0.2521842,0.2403316,0.6116076
0,675,0.2281395,0.2175662,0.6119904
0,690,0.2069245,0.1974926,0.6123492
0,705,0.188194,0.1797793,0.6126869
0,720,0.1716445,0.1641358,0.6130061
