"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Raltegravir|Concentration in container [µmol/l]","Organism|Lumen|Raltegravir|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0.005629702,0.02721562,0.0004248686
0,6,0.04845211,0.1131962,0.001435607
0,9,0.1244115,0.224912,0.002941695
0,12,0.2252752,0.3588162,0.004948265
0,15,0.3477447,0.5121245,0.007447408
0,18,0.4890798,0.6816134,0.01042108
0,21,0.6466162,0.8644584,0.01384734
0,24,0.8179717,1.058386,0.01770338
0,27,1.001094,1.261544,0.02196646
0,30,1.194215,1.472379,0.02661431
0,33,1.395788,1.689533,0.03162515
0,36,1.604438,1.911795,0.03697771
0,39,1.81891,2.13806,0.04265111
0,42,2.038062,2.367305,0.04862492
0,45,2.260838,2.598586,0.0548791
0,48,2.486258,2.831023,0.06139403
0,51,2.713416,3.0638,0.06815054
0,54,2.941468,3.296156,0.07512988
0,57,3.16963,3.527387,0.08231377
0,60,3.397176,3.756841,0.08968441
0,63,3.623433,3.983916,0.09722453
0,66,3.847779,4.208056,0.1049174
0,69,4.069641,4.428754,0.1127467
0,72,4.288493,4.645548,0.1206968
0,75,4.503854,4.85802,0.1287527
0,78,4.715287,5.06579,0.1368998
0,81,4.922391,5.26851,0.1451242
0,84,5.124804,5.465866,0.1534124
0,87,5.322195,5.657582,0.1617516
0,90,5.514268,5.843415,0.1701295
0,93,5.700768,6.023154,0.1785343
0,96,5.881461,6.196608,0.1869549
0,99,6.05612,6.363508,0.195379
0,102,6.224441,6.523564,0.2037954
0,105,6.386245,6.676744,0.2121944
0,108,6.541432,6.822999,0.2205668
0,111,6.689917,6.962278,0.2289039
0,114,6.831627,7.094542,0.2371976
0,117,6.966509,7.219767,0.2454401
0,120,7.094522,7.337941,0.2536239
0,135,7.631168,7.82362,0.2934363
0,150,7.997017,8.136607,0.3308909
0,165,8.196501,8.284339,0.3654092
0,180,8.247232,8.287488,0.3967187
0,195,8.169919,8.168009,0.4247338
0,210,7.986749,7.948858,0.4495139
0,225,7.720092,7.652688,0.471226
0,240,7.391169,7.300601,0.490112
0,255,7.018276,6.909672,0.5064321
0,270,6.615197,6.494115,0.5204321
0,285,6.200998,6.073009,0.5324804
0,300,5.787209,5.656003,0.5428785
0,315,5.381238,5.249609,0.5518702
0,330,4.988488,4.858614,0.5596645
0,345,4.612798,4.486341,0.5664421
0,360,4.256708,4.134894,0.5723583
0,375,3.92171,3.805378,0.5775447
0,390,3.607479,3.496798,0.5820941
0,405,3.313966,3.209393,0.5860937
0,420,3.041274,2.942961,0.589625
0,435,2.785995,2.692872,0.5927048
0,450,2.547132,2.459542,0.5953702
0,465,2.325242,2.243295,0.5976817
0,480,2.120035,2.043696,0.5996912
0,495,1.930933,1.860075,0.6014428
0,510,1.757184,1.691619,0.6029742
0,525,1.597942,1.537442,0.6043175
0,540,1.452317,1.396628,0.6055002
0,555,1.319401,1.268252,0.6065456
0,570,1.198293,1.151405,0.6074734
0,585,1.088107,1.045201,0.6083005
0,600,0.9879929,0.9487903,0.6090413
0,615,0.8971351,0.8613671,0.609708
0,630,0.8147638,0.7821699,0.6103109
0,645,0.7401544,0.7104859,0.6108588
0,660,0.6726298,0.6456506,0.6113592
0,675,0.6115603,0.5870478,0.6118186
0,690,0.5563629,0.5341083,0.6122422
0,705,0.5064995,0.486308,0.6126349
0,720,0.461475,0.4431656,0.6130005
